Source;Target;weight
Addam-Marbrand;Brynden-Tully;3
Addam-Marbrand;Cersei-Lannister;3
Addam-Marbrand;Jaime-Lannister;8
Addam-Marbrand;Lyle-Crakehall;4
Aegon-Targaryen-(son-of-Rhaegar);Rhaegar-Targaryen;3
Aegon-V-Targaryen;Aemon-Targaryen-(Maester-Aemon);3
Aemon-Targaryen-(Maester-Aemon);Alleras;4
Aemon-Targaryen-(Maester-Aemon);Clydas;5
Aemon-Targaryen-(Maester-Aemon);Dareon;5
Aemon-Targaryen-(Maester-Aemon);Gilly;17
Aemon-Targaryen-(Maester-Aemon);Jon-Snow;17
Aemon-Targaryen-(Maester-Aemon);Samwell-Tarly;41
Aeron-Greyjoy;Asha-Greyjoy;7
Aeron-Greyjoy;Baelor-Blacktyde;4
Aeron-Greyjoy;Balon-Greyjoy;17
Aeron-Greyjoy;Dunstan-Drumm;4
Aeron-Greyjoy;Emmond;4
Aeron-Greyjoy;Euron-Greyjoy;23
Aeron-Greyjoy;Gormond-Goodbrother;6
Aeron-Greyjoy;Gorold-Goodbrother;10
Aeron-Greyjoy;Greydon-Goodbrother;4
Aeron-Greyjoy;Meldred-Merlyn;7
Aeron-Greyjoy;Murenmure;11
Aeron-Greyjoy;Rus;5
Aeron-Greyjoy;Theon-Greyjoy;3
Aeron-Greyjoy;Victarion-Greyjoy;17
Aerys-II-Targaryen;Barristan-Selmy;4
Aerys-II-Targaryen;Cersei-Lannister;3
Aerys-II-Targaryen;Denys-Darklyn;4
Aerys-II-Targaryen;Elbert-Arryn;3
Aerys-II-Targaryen;Jaime-Lannister;6
Aerys-II-Targaryen;Owen-Merryweather;3
Aerys-II-Targaryen;Rhaegar-Targaryen;5
Aerys-II-Targaryen;Robert-Baratheon;3
Aerys-II-Targaryen;Tywin-Lannister;10
Alla-Tyrell;Elinor-Tyrell;8
Alla-Tyrell;Margaery-Tyrell;7
Alla-Tyrell;Megga-Tyrell;10
Alla-Tyrell;Osney-Kettleblack;3
Alleras;Armen;5
Alleras;Leo-Tyrell;7
Alleras;Marwyn;3
Alleras;Mollander;7
Alleras;Pate-(novice);8
Alleras;Roone;6
Alleras;Samwell-Tarly;8
Alys-Arryn;Elys-Waynwood;4
Alys-Arryn;Jon-Arryn;3
Amerei-Frey;Jaime-Lannister;6
Amerei-Frey;Lancel-Lannister;10
Amerei-Frey;Lyle-Crakehall;4
Anders-Yronwood;Quentyn-Martell;4
Andrey-Dalt;Arianne-Martell;10
Andrey-Dalt;Garin-(orphan);11
Andrey-Dalt;Myrcella-Baratheon;4
Andrey-Dalt;Sylva-Santagar;8
Andrey-Dalt;Tyene-Sand;4
Anya-Waynwood;Benedar-Belmore;4
Anya-Waynwood;Gilwood-Hunter;6
Anya-Waynwood;Harrold-Hardyng;6
Anya-Waynwood;Horton-Redfort;7
